orig_cid,cName,cparentName
2,Massage Parlours Place,Adult Entertainment
3,Erotic Dancers Place,Adult Entertainment
4,Escorts Service providers,Adult Entertainment
5,Bathhouses Place,Adult Entertainment
6,Dating Services Service providers,Adult Entertainment
7,Sex Shops Online Retailers,Adult Entertainment
7,Sex Shops Distributors,Adult Entertainment
7,Sex Shops Retailers,Adult Entertainment
9,Astrologers Associations,Adult Entertainment
9,Astrologers Publishers,Adult Entertainment
9,Astrologers Service providers,Adult Entertainment
10,Psychics Service providers,Adult Entertainment
13,Shopping and Specialty Stores,NULL
14,Apparel,Shopping and Specialty Stores
24,Footwear,Shopping and Specialty Stores
30,Furs Wholesalers,Shopping and Specialty Stores
30,Furs Manufacturers,Shopping and Specialty Stores
30,Furs Service providers,Shopping and Specialty Stores
30,Furs Cleaning,Shopping and Specialty Stores
30,Furs Retailers,Shopping and Specialty Stores
31,Fabrics and Textiles Retailers,Sewing and Crafts
31,Fabrics and Textiles Manufacturers,Sewing and Crafts
31,Fabrics and Textiles Wholesalers,Sewing and Crafts
36,Leather Retailers,Shopping and Specialty Stores
36,Leather Repairs,Shopping and Specialty Stores
36,Leather Manufacturers,Shopping and Specialty Stores
36,Leather Wholesalers,Shopping and Specialty Stores
40,Tailoring & Alterations Service providers,Clothing Services
41,Arts and Entertainment,NULL
42,Amusement,Arts and Entertainment
43,Amusement Parks Place,Amusement
44,Arcades Place,Amusement
45,Go-Kart Tracks Place,Amusement
46,Waterparks Place,Amusement
47,Laser Games Place,Amusement
49,Bowling Service providers,Amusement
49,Bowling Retailers,Amusement
49,Bowling Wholesalers,Amusement
49,Bowling Place,Amusement
50,Miniature Golf Place,Amusement
52,Zoos Place,Amusement
53,Art,Arts and Entertainment
54,Art Galleries Associations,Art
54,Art Galleries Place,Art
55,Art Dealers Associations,Art
55,Art Dealers Retailers,Art
55,Art Dealers Wholesalers,Art
55,Art Dealers Distributors,Art
55,Art Dealers Service providers,Art
56,Artists Studios,Art
56,Artists Professionals,Art
57,Casinos Associations,Gambling
57,Casinos Service providers,Gambling
57,Casinos Place,Gambling
57,Casinos Wholesalers,Gambling
58,Performing Arts,Arts and Entertainment
59,Concert Venues Place,Performing Arts
60,Opera Companies Organizations,Performing Arts
61,Ballet Theatres Place,Performing Arts
61,Ballet Theatres Associations,Performing Arts
62,Theatres & Play Houses Place,Performing Arts
62,Theatres & Play Houses Associations,Performing Arts
63,Ticket Sales Retailers,Performing Arts
63,Ticket Sales Online Retailers,Performing Arts
64,Museums and Historical Sites Associations,Arts and Entertainment
64,Museums and Historical Sites Place,Arts and Entertainment
65,Movies,Arts and Entertainment
66,Movie Theatres Place,Movies
67,Film Festivals Associations,Movies
67,Film Festivals Events,Movies
68,"Literature, Books and Writing ",Arts and Entertainment
70,Used Books Retailers,Shopping and Specialty Stores
71,Editors Service providers,"Literature, Books and Writing"
72,Book Publishing Publishers,"Literature, Books and Writing"
73,Automotive,NULL
74,Auto Parts & Services,Automotive
75,Auto Glass Service providers,Auto Parts & Services
75,Auto Glass,Auto Parts & Services
75,Auto Glass Resources,Auto Parts & Services
75,Auto Glass Associations,Auto Parts & Services
75,Auto Glass Manufacturers,Auto Parts & Services
77,Auto Parts Manufacturers,Auto Parts & Services
77,Auto Parts Retailers,Auto Parts & Services
77,Auto Parts Used,Auto Parts & Services
77,Auto Parts Distributors,Auto Parts & Services
77,Auto Parts Online Retailers,Auto Parts & Services
77,Auto Parts Wholesalers,Auto Parts & Services
77,Auto Parts Associations,Auto Parts & Services
78,Tires Retailers,Auto Parts & Services
78,Tires Equipment and Supplies,Auto Parts & Services
78,Tires Manufacturers,Auto Parts & Services
78,Tires Service providers,Auto Parts & Services
78,Tires Used,Auto Parts & Services
78,Tires Distributors,Auto Parts & Services
83,Towing Manufacturers,Auto Parts & Services
83,Towing Wholesalers,Auto Parts & Services
83,Towing Service providers,Auto Parts & Services
84,Wrecking Service providers,Auto Parts & Services
84,Wrecking Distributors,Auto Parts & Services
85,Car Washes Service providers,Auto Parts & Services
85,Car Washes Equipment and Supplies,Auto Parts & Services
85,Car Washes Place,Auto Parts & Services
85,Car Washes Wholesalers,Auto Parts & Services
87,Parking Service providers,Transportation
87,Parking Place,Transportation
90,Transmission Services Service providers,Auto Parts & Services
90,Transmission Services Manufacturers,Auto Parts & Services
90,Transmission Services Wholesalers,Auto Parts & Services
91,Car Customizing,Automotive
92,Auto Interiors Retailers,Auto Parts & Services
92,Auto Interiors Service providers,Auto Parts & Services
93,Car Alarms Retailers,Auto Parts & Services
93,Car Alarms Manufacturers,Auto Parts & Services
93,Car Alarms Service providers,Auto Parts & Services
94,Auto Audio Visual Wholesalers,Auto Parts & Services
94,Auto Audio Visual Manufacturers,Auto Parts & Services
94,Auto Audio Visual Service providers,Auto Parts & Services
94,Auto Audio Visual Retailers,Auto Parts & Services
96,Car Leasing Service providers,Automotive
98,Used Cars DELETE ME Dealers,Automotive
99,New Cars,Automotive
