n49 Fields in partner_businesses,Default Field names for partners,Type,Required,,
partnerBid     ,partnerBid     ,String,Y,,
bName          ,name,String,Y,,
bAddr1         ,address1,String,Y,,
bAddr2         ,address2,String,N,,
neighbourhood  ,neighbourhood  ,String,N,,
bcity          ,city,String,Y,,
bProvState     ,state,String,Y,,
bPostalZip     ,postalCode,String,Y,,
countryCode    ,countryCode    ,String,Y,,
bShowAddress   ,visible,String,default visible = true,,
displayAddress ,displayAddress,String,N,,
bSHortDEsc     ,description,String,N,,
bLat       ,latitude,decimal,N,,
bLong      ,longitude,decimal,N,,
bPhone1    ,phone1,10 digit phone number,Y,,
bPhone2    ,phone2,10 digit phone number,N,,
bPhone3    ,phone3,10 digit phone number,N,,
bPhone4    ,phone4,10 digit phone number,N,,
bTollFree  ,tollFree,10 digit phone number,N,,
bFax       ,fax,10 digit phone number,N,,
TTY        ,TTY,10 digit phone number,N,,
bEmail     ,email,String,N,,
categories ,categories,,Y,,
bWebsite   ,website,String,N,,
reservationUrl    ,,,,,
menuUrl           ,,,,,
orderUrl          ,,,,,
twitterHandle     ,twitterHandle     ,String,N,,
facebookPageUrl   ,facebookPageUrl   ,String,N,,
bLogoImageID      ,,,,,
bStorefrontImageID,,,,,
bWebsiteScreengrabImageID,,,,,
bOwnedBy          ,,,,,
bOpsHours         ,hours,Array,N,,
hoursText         ,hoursText,Array,N,,
bPayMethodsAccepted,paymentOptions,Array,N,,
bLanguages        ,languages,Array,N,,
bYearEstablished  ,yearEstablished,year(YYYY),N,,
deleted           ,,,,,
created           ,,,,,
updated           ,,,,,
isInBusiness      ,closed,true/false,default closed = false,,
closeDate         ,closeDate         ,date,N,,
galleryImages     ,images,Array,N,,
videos            ,videos,Array,N,,
specialOffer      ,specialOffer      ,Array,N,,
attribution       ,attribution       ,Array,N,,
keywords          ,keywords          ,Array,N,,
specialties       ,specialties       ,Array,N,,
brands            ,brands            ,Array,N,,
products          ,products          ,Array,N,,
services          ,services          ,Array,N,,
associations      ,associations      ,Array,N,,
canonicalListingId,canonicalListingId,,only for suppress,,
claimedBy,paidBusiness,true/false,Y,,
status,status,true/false,only for suppress,,this is for suppressed and unsuppressed
reasonForCanonicalListingId,reasonForCanonicalListingId,text,N,,
