Default Field names for partners,,,Required,
Review Action,,,,
bID,,int,y,
number,,int,y,
before,,ISO-8601,n,
property,,string,n,
,,,,
Search Action,,,,
name,,String,n,
countryCode    ,,String,n,
latitude,,decimal,n,
longitude,,decimal,n,
city,,String,n,
state,,String,n,
zip,,String,n,
phone,,10 digit phone number,y,
,,,,
detail Action,,,,
bID,,int,y,
,,,,
suppress Action,,,,
bID,,int,y,
canonicalListingId,,,y,
status,,true/false,y,this is for suppressed and unsuppressed
reasonForCanonicalListingId,,text,n,
